"leg_id","timestamp_utc","from_key","to_key","from_name","to_name","transport","route_source","route_confidence"
"633","2024-08-23 22:05:00","1724450640000","1724450700000","Beaune rest stop","Etangs d'Or","foot","arcgis","existing"
"634","2024-08-23 22:04:00","1724450580000","1724450640000","Aire du Bois des Potets","Beaune rest stop","car","arcgis","existing"
"635","2024-08-24 22:08:00","1724537220000","1724537280000","Aire des Volcans","Tulle","car","arcgis","existing"
"636","2024-08-24 22:01:00","1724536800000","1724536860000","Beaune rest stop","Chalon-sur-Saone","car","arcgis","existing"
"637","2024-08-24 22:04:00","1724536980000","1724537040000","Montchanin","Montceau-les-Mines","car","arcgis","existing"
"638","2024-08-24 22:00:00","1724450700000","1724536800000","Etangs d'Or","Beaune rest stop","foot","arcgis","existing"
"639","2024-08-24 22:03:00","1724536860000","1724536980000","Chalon-sur-Saone","Montchanin","car","arcgis","existing"
"640","2024-08-24 22:09:00","1724537280000","1724537340000","Tulle","Curemont","car","arcgis","existing"
"641","2024-08-24 22:07:00","1724537160000","1724537220000","Vieure","Aire des Volcans","car","arcgis","existing"
"642","2024-08-24 22:06:00","1724537100000","1724537160000","Les Muratons","Vieure","car","arcgis","existing"
"643","2024-08-24 22:05:00","1724537040000","1724537100000","Montceau-les-Mines","Les Muratons","car","arcgis","existing"
"644","2024-08-25 22:04:00","1724623320000","1724623440000","Caussade","Peage Montauban","car","arcgis","existing"
"645","2024-08-25 22:00:00","1724537340000","1724623200000","Curemont","Souillac","car","arcgis","existing"
"646","2024-08-25 22:05:00","1724623440000","1724623500000","Peage Montauban","Peage Toulouse","car","arcgis","existing"
"647","2024-08-25 22:02:00","1724623260000","1724623320000","Peage","Caussade","car","arcgis","existing"
"648","2024-08-25 22:01:00","1724623200000","1724623260000","Souillac","Peage","car","arcgis","existing"
"649","2024-08-25 22:06:00","1724623500000","1724623560000","Peage Toulouse","Lannemezan","car","arcgis","existing"
"650","2024-08-26 17:09:00","1724623560000","1724692140000","Lannemezan","Barossa","car","arcgis","existing"
"651","2024-08-26 17:10:00","1724692140000","1724692200000","Barossa","Valle de Barossa","foot","arcgis","existing"
"652","2024-08-26 22:00:00","1724692200000","1724709600000","Valle de Barossa","Barrosa","foot","arcgis","existing"
"653","2024-08-26 22:01:00","1724709600000","1724709660000","Barrosa","Bielsa","car","arcgis","existing"
"654","2024-08-26 22:02:00","1724709660000","1724709720000","Bielsa","Ainsa","car","arcgis","existing"
"655","2024-08-26 22:05:00","1724709840000","1724709900000","Boltana","Javonas","car","arcgis","existing"
"656","2024-08-26 22:06:00","1724709900000","1724709960000","Javonas","Sabinanigo","car","arcgis","existing"
"657","2024-08-26 22:04:00","1724709720000","1724709840000","Ainsa","Boltana","car","arcgis","existing"
"658","2024-08-27 22:00:00","1724710260000","1724796000000","Zaragoza","Zaragoza","foot","arcgis","existing"
"659","2024-08-26 22:11:00","1724710200000","1724710260000","Zaragoza","Zaragoza","foot","arcgis","existing"
"660","2024-08-27 22:01:00","1724796000000","1724796060000","Zaragoza","Zaragoza outskirts","car","arcgis","existing"
"661","2024-08-26 22:10:00","1724709960000","1724710200000","Sabinanigo","Zaragoza","car","arcgis","existing"
"662","2024-08-27 22:02:00","1724796060000","1724796120000","Zaragoza outskirts","Madrid Legazpi","car","arcgis","existing"
"663","2024-08-28 22:00:00","1724796240000","1724882400000","Madrid OK Hostel","Madrid Airport","train","arcgis","existing"
"664","2024-08-28 22:01:00","1724882400000","1724882460000","Madrid Airport","Bogota airport","plane","arcgis","existing"
"665","2024-08-28 22:04:00","1724882460000","1724882640000","Bogota airport","Bogota","car","arcgis","existing"
"666","2024-08-27 22:04:00","1724796120000","1724796240000","Madrid Legazpi","Madrid OK Hostel","foot","arcgis","existing"
"667","2024-08-28 22:05:00","1724882640000","1724882700000","Bogota","Bogota","foot","arcgis","existing"
"668","2024-08-29 22:00:00","1724882700000","1724968800000","Bogota","Bogota Portal Norte","bus","arcgis","existing"
"669","2024-08-29 22:05:00","1724969040000","1724969100000","Bogota outskirts","Bogota outskirts","foot","arcgis","existing"
"670","2024-08-29 22:02:00","1724968800000","1724968920000","Bogota Portal Norte","Bogota outskirts","foot","arcgis","existing"
"672","2024-08-29 22:06:00","1724969100000","1724969160000","Bogota outskirts","Bogota bus terminal","bus","arcgis","existing"
"673","2024-08-29 22:04:00","1724968920000","1724969040000","Bogota outskirts","Bogota outskirts","bus","arcgis","existing"
"675","2024-08-29 22:02:00","1724968860000","1724968920000","Bogota outskirts","Bogota outskirts","foot","arcgis","existing"
"676","2024-08-29 22:07:00","1724969160000","1724969220000","Bogota bus terminal","Ruta 90","bus","arcgis","existing"
"677","2024-09-19 22:00:00","1726696800000","1726783200000","Cerro Kennedy","Way to Cerro Kennedy","foot","arcgis","existing"
"678","2024-09-17 22:00:00","1726437600000","1726610400000","Eco Point Hostel","Way to Cerro Kennedy","foot","arcgis","existing"
"679","2024-09-17 22:05:00","1726610580000","1726610700000","Tagua","Collegio","foot","arcgis","existing"
"680","2024-09-14 22:01:00","1726351200000","1726351260000","Ruta 90","Tayrona","car","arcgis","existing"
"681","2024-09-18 22:00:00","1726610700000","1726696800000","Collegio","Cerro Kennedy","foot","arcgis","existing"
"682","2024-09-14 22:04:00","1726351380000","1726351440000","Yucal","Minca","car","arcgis","existing"
"683","2024-09-14 22:03:00","1726351320000","1726351380000","Santa Marta ourskirts","Yucal","foot","arcgis","existing"
"685","2024-09-15 22:00:00","1726351560000","1726437600000","Minca","Eco Point Hostel","foot","arcgis","existing"
"686","2024-09-14 22:06:00","1726351440000","1726351560000","Minca","Minca","foot","arcgis","existing"
"687","2024-09-20 22:06:00","1726869780000","1726869960000","Santa Marta","Believer Hostal","foot","arcgis","existing"
"688","2024-09-20 22:00:00","1726783200000","1726869600000","Way to Cerro Kennedy","Tagua","foot","arcgis","existing"
"689","2024-09-17 22:01:00","1726610400000","1726610460000","Way to Cerro Kennedy","El Campano","car","arcgis","existing"
"690","2024-09-17 22:03:00","1726610460000","1726610580000","El Campano","Tagua","car","arcgis","existing"
"691","2024-09-20 22:01:00","1726869600000","1726869660000","Tagua","Minca","car","arcgis","existing"
"692","2024-09-14 22:02:00","1726351260000","1726351320000","Tayrona","Santa Marta ourskirts","car","arcgis","existing"
"693","2024-09-22 22:03:00","1727042460000","1727042580000","Santa Marta outskirts","Cienaga","car","arcgis","existing"
"694","2024-09-22 22:01:00","1727042400000","1727042460000","Santa Marta","Santa Marta outskirts","car","arcgis","existing"
"695","2024-09-22 22:05:00","1727042580000","1727042700000","Cienaga","Barranquilla outskirts","truck","arcgis","existing"
"696","2024-09-22 22:00:00","1726869960000","1727042400000","Believer Hostal","Santa Marta","foot","arcgis","existing"
"697","2024-09-20 22:03:00","1726869660000","1726869780000","Minca","Santa Marta","truck","arcgis","existing"
"698","2024-10-01 22:01:00","1727820000000","1727820060000","Ruta 90","Mingueo","truck","arcgis","existing"
"699","2024-09-26 22:00:00","1727301840000","1727388000000","Caoba Farm","Jungle","foot","arcgis","existing"
"700","2024-09-22 22:06:00","1727042700000","1727042760000","Barranquilla outskirts","Barranquilla Couchsurfing","taxi","arcgis","existing"
"701","2024-09-29 22:01:00","1727647200000","1727647260000","Ruta 90","Beach next to Costeno","foot","arcgis","existing"
"702","2024-09-25 22:01:00","1727301600000","1727301660000","Barrio 11 Noviembre","Paso de Mango","taxi","arcgis","existing"
"703","2024-10-02 22:00:00","1727820120000","1727906400000","Mingueo","Mingueo","foot","arcgis","existing"
"704","2024-09-29 22:00:00","1727561040000","1727647200000","Believer Hostel","Ruta 90","bus","arcgis","existing"
"705","2024-09-25 22:00:00","1727215560000","1727301600000","Santa Marta","Barrio 11 Noviembre","bus","arcgis","existing"
"706","2024-09-24 22:00:00","1727042760000","1727215200000","Barranquilla Couchsurfing","Barranquilla","foot","arcgis","existing"
"707","2024-10-01 22:02:00","1727820060000","1727820120000","Mingueo","Mingueo","foot","arcgis","existing"
"708","2024-09-24 22:06:00","1727215500000","1727215560000","Santa Marta ourkirts","Santa Marta","taxi","arcgis","existing"
"709","2024-09-28 22:00:00","1727388000000","1727560800000","Jungle","Bonda","foot","arcgis","existing"
"710","2024-09-25 22:04:00","1727301660000","1727301840000","Paso de Mango","Caoba Farm","foot","arcgis","existing"
"711","2024-09-24 22:05:00","1727215380000","1727215500000","Cienaga","Santa Marta ourkirts","truck","arcgis","existing"
"712","2024-10-01 22:00:00","1727647260000","1727820000000","Beach next to Costeno","Ruta 90","truck","arcgis","existing"
"713","2024-09-24 22:03:00","1727215260000","1727215380000","Barranquilla outskirts","Cienaga","truck","arcgis","existing"
"714","2024-09-28 22:04:00","1727560860000","1727561040000","Barrio 11 Noviembre","Believer Hostel","bus","arcgis","existing"
"715","2024-10-02 22:01:00","1727906400000","1727906460000","Mingueo","Maicao","bus","arcgis","existing"
"716","2024-09-28 22:01:00","1727560800000","1727560860000","Bonda","Barrio 11 Noviembre","car","arcgis","existing"
"717","2024-09-24 22:01:00","1727215200000","1727215260000","Barranquilla","Barranquilla outskirts","taxi","arcgis","existing"
"718","2024-10-08 22:00:00","1728338400000","1728424800000","Valledupar parque de la vida","Valledupar","foot","arcgis","existing"
"719","2024-10-08 22:06:00","1728425040000","1728425160000","La paz","La paz, rio","foot","arcgis","existing"
"720","2024-10-09 22:01:00","1728511200000","1728511260000","Manaure","Manaure","foot","arcgis","existing"
"721","2024-10-07 22:00:00","1728252000000","1728338400000","Valledupar outskirts","Valledupar parque de la vida","foot","arcgis","existing"
"722","2024-10-06 22:00:00","1727993160000","1728252000000","Valledupar rio","Valledupar outskirts","foot","arcgis","existing"
"723","2024-10-03 22:00:00","1727906580000","1727992800000","Maicao outskirts","Police checkpoint","foot","arcgis","existing"
"724","2024-10-03 22:06:00","1727993100000","1727993160000","Valledupar","Valledupar rio","foot","arcgis","existing"
"725","2024-10-03 22:03:00","1727992860000","1727992980000","San Juan de Cesar","San Juan de Cesar","foot","arcgis","existing"
"726","2024-10-02 22:03:00","1727906460000","1727906580000","Maicao","Maicao outskirts","taxi","arcgis","existing"
"727","2024-10-08 22:01:00","1728424800000","1728424860000","Valledupar","Valledupar outskirts","car","arcgis","existing"
"728","2024-10-09 22:00:00","1728425160000","1728511200000","La paz, rio","Manaure","car","arcgis","existing"
"729","2024-10-03 22:01:00","1727992800000","1727992860000","Police checkpoint","San Juan de Cesar","car","arcgis","existing"
"730","2024-10-08 22:04:00","1728424860000","1728425040000","Valledupar outskirts","La paz","car","arcgis","existing"
"731","2024-10-03 22:05:00","1727992980000","1727993100000","San Juan de Cesar","Valledupar","car","arcgis","existing"
"732","2024-10-15 22:00:00","1728943560000","1729029600000","Hatonuevo","Maicao","taxi","arcgis","existing"
"733","2024-10-10 22:00:00","1728511260000","1728597600000","Manaure","Pozo Azul","foot","arcgis","existing"
"734","2024-10-18 22:01:00","1729288800000","1729288860000","Agua Viva","Agua Viva","foot","arcgis","existing"
"735","2024-10-19 22:02:00","1729375200000","1729375320000","Small town in Paramo","Timotes","car","arcgis","existing"
"736","2024-10-13 22:02:00","1728856860000","1728856920000","La Paz","La Paz","foot","arcgis","existing"
"737","2024-10-24 22:03:00","1729807260000","1729807380000","Tabay","Finca Mucuy de Tabay","car","arcgis","existing"
"738","2024-10-20 22:00:00","1729375440000","1729461600000","Timotes","Timotes - Leidas house","foot","arcgis","existing"
"739","2024-10-16 22:00:00","1729029600000","1729116000000","Maicao","Border Colombia - Venezuela","taxi","arcgis","existing"
"740","2024-10-13 22:01:00","1728856800000","1728856860000","Manaure ","La Paz","car","arcgis","existing"
"741","2024-10-11 22:00:00","1728597600000","1728684000000","Pozo Azul","Manaure","car","arcgis","existing"
"742","2024-10-16 22:01:00","1729116000000","1729116060000","Border Colombia - Venezuela","Police station - Venezuela","taxi","arcgis","existing"
